Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		47445	69400		3.826	
		47493	69500		3.843	
		47536	69600		3.725	
		47587	69700		3.633	
		47638	69800		3.576	
		47695	69900		3.475	
		47743	70000		3.293	
		47800	70100		3.219	
		47848	70200		3.264	
		47900	70300		3.295	
		47955	70400		3.214	
		48015	70500		3.288	
		48065	70600		3.419	
		48127	70700		3.6	
		48178	70800		3.56	
		48240	70900		3.721	
		48291	71000		3.778	
		48344	71100		3.831	
		48401	71200		3.847	
		48457	71300		3.794	
		48517	71400		3.789	
		48567	71500		3.673	
		48622	71600		3.658	
		48671	71700		3.458	
		48732	71800		3.46	
		48787	71900		3.265	
		48842	72000		3.398	
		48898	72100		3.308	
		48950	72200		3.282	
		49002	72300		3.384	
		49061	72400		3.432	
		49118	72500		3.543	
		49177	72600		3.541	
		49239	72700		3.785	
		49297	72800		3.832	
		49354	72900		3.896	
		49411	73000		4.015	
		49464	73100		4.135	
		49516	73200		4.194	
		49573	73300		4.161	
		49628	73400		4.169	
		49679	73500		4.093	
		49726	73600		4.022	
		49776	73700		3.906	
		49833	73800		3.884	
		49887	73900		4.066	
		49945	74000		3.816	
		49997	74100		3.673	
		50047	74200		3.584	
		50104	74300		3.61	
		50164	74400		3.5	
		50229	74500		3.525	
		50280	74600		3.556	
		50329	74700		3.443	
		50379	74800		3.429	
		50435	74900		3.215	
		50497	75000		3.224	
		50549	75100		3.195	
		50598	75200		3.287	
		50645	75300		3.195	
		50695	75400		3.254	
		50749	75500		3.283	
		50807	75600		3.339	
		50872	75700		3.455	
		50921	75800		3.481	
		50975	75900		3.496	
		51033	76000		3.564	
		51088	76100		3.671	
		51146	76200		3.645	
		51200	76300		3.584	
		51255	76400		3.607	
		51308	76500		3.66	
		51357	76600		3.649	
		51410	76700		3.628	
		51470	76800		3.613	
		51530	76900		3.718	
		51595	77000		3.826	
		51646	77100		3.871	
		51700	77200		3.895	
		51758	77300		4.014	
		51810	77400		3.984	
		51856	77500		3.801	
		51917	77600		3.801	
		51980	77700		3.822	
		52040	77800		3.879	
		52099	77900		3.833	
		52158	78000		3.643	
		52211	78100		3.567	
		52265	78200		3.546	
		52325	78300		3.532	
		52382	78400		3.54	
		52433	78500		3.596	
		52491	78600		3.554	
		52550	78700		3.56	
		52596	78800		3.525	
		52649	78900		3.451	
		52692	79000		3.422	
		52742	79100		3.386	
		52799	79200		3.348	
		52851	79300		3.384	
		52896	79400		3.353	
		52955	79500		3.518	
		53004	79600		3.544	
		53060	79700		3.486	
		53100	79800		3.37	
		53145	79900		3.415	
		53187	80000		3.432	
		53240	80100		3.462	
		53292	80200		3.396	
		53343	80300		3.433	
		53395	80400		3.428	
		53447	80500		3.278	
		53502	80600		3.262	
		53547	80700		3.194	
		53597	80800		3.231	
		53652	80900		3.212	
		53705	81000		3.255	
		53757	81100		3.317	
		53820	81200		3.505	
		53877	81300		3.541	
		53936	81400		3.588	
		53988	81500		3.629	
		54034	81600		3.639	
		54081	81700		3.699	
		54128	81800		3.69	
		54177	81900		3.625	
		54230	82000		3.614	
		54274	82100		3.542	
		54320	82200		3.384	
		54370	82300		3.242	
		54421	82400		3.132	
		54473	82500		3.055	
		54526	82600		3.032	
		54573	82700		2.931	
		54624	82800		3.044	
		54674	82900		3.092	
		54729	83000		3.137	
		54779	83100		3.121	
		54840	83200		3.241	
		54894	83300		3.203	
		54949	83400		3.339	
		55009	83500		3.597	
		55067	83600		3.625	
		55122	83700		3.79	
		55176	83800		3.749	
		55227	83900		3.729	
		55285	84000		3.695	
		55334	84100		3.769	
		55384	84200		3.769	
		55443	84300		3.756	
		55497	84400		3.898	
		55555	84500		3.666	
		55602	84600		3.631	
		55655	84700		3.475	
		55708	84800		3.464	
		55760	84900		3.433	
		55815	85000		3.393	
		55867	85100		3.314	
		55918	85200		3.199	
		55964	85300		3.275	
		56012	85400		2.974	
		56075	85500		3.03	
		56124	85600		2.998	
		56179	85700		3.145	
		56221	85800		3.094	
		56266	85900		3.154	
		56319	86000		3.158	
		56380	86100		3.195	
		56440	86200		3.242	
		56499	86300		3.332	
		56541	86400		3.329	
		56591	86500		3.339	
		56638	86600		3.458	
		56695	86700		3.372	
		56739	86800		3.375	
		56790	86900		3.371	
		56841	87000		3.466	
		56891	87100		3.461	
		56941	87200		3.407	
		56994	87300		3.35	
		57049	87400		3.476	
		57104	87500		3.4	
		57162	87600		3.383	
		57206	87700		3.415	
		57257	87800		3.461	
		57313	87900		3.459	
		57353	88000		3.313	
		57402	88100		3.342	
		57445	88200		3.322	
		57503	88300		3.262	
		57555	88400		3.258	
		57607	88500		3.253	
		57657	88600		3.152	
		57710	88700		3.181	
		57768	88800		3.202	
		57822	88900		3.237	
		57877	89000		3.349	
		57926	89100		3.319	
		57987	89200		3.424	
		58038	89300		3.458	
		58088	89400		3.425	
		58132	89500		3.5	
		58181	89600		3.498	
		58235	89700		3.437	
		58287	89800		3.444	
		58333	89900		3.374	
		58391	90000		3.433	
		58447	90100		3.422	
		58499	90200		3.361	
		58542	90300		3.319	
		58585	90400		3.31	
		58637	90500		3.275	
		58682	90600		3.309	
		58729	90700		3.265	
		58771	90800		3.162	
		58817	90900		3.225	
		58861	91000		3.073	
		58907	91100		3.056	
		58955	91200		3.044	
		59001	91300		3.049	
		59053	91400		3.145	
		59100	91500		3.125	
		59151	91600		3.149	
		59201	91700		3.28	
		59255	91800		3.293	
		59309	91900		3.344	
		59351	92000		3.373	
		59391	92100		3.343	
		59438	92200		3.346	
		59477	92300		3.296	
		59522	92400		3.129	
		59568	92500		3.086	
		59618	92600		3.049	
		59662	92700		2.876	
		59707	92800		2.867	
		59752	92900		2.709	
		59802	93000		2.69	
		59860	93100		2.9	
		59909	93200		2.856	
		59965	93300		2.925	
		60012	93400		3.041	
		60065	93500		3.148	
		60113	93600		3.156	
		60176	93700		3.362	
		60233	93800		3.429	
		60286	93900		3.515	
		60335	94000		3.664	
		60386	94100		3.559	
		60433	94200		3.575	
		60485	94300		3.621	
		60545	94400		3.638	
		60593	94500		3.528	
		60643	94600		3.56	
		60691	94700		3.452	
		60737	94800		3.487	
		60789	94900		3.472	
		60850	95000		3.375	
		60897	95100		3.307	
		60942	95200		3.26	
		60990	95300		3.207	
		61042	95400		3.116	
		61092	95500		3.11	
		61145	95600		3.113	
		61192	95700		3.02	
		61247	95800		2.996	
		61297	95900		2.972	
		61347	96000		2.917	
		61398	96100		2.945	
		61448	96200		2.985	
		61490	96300		2.931	
		61532	96400		2.916	
		61582	96500		2.991	
		61631	96600		2.973	
		61691	96700		3.092	
		61744	96800		3.175	
		61793	96900		3.186	
		61835	97000		3.226	
		61894	97100		3.298	
		61936	97200		3.299	
		61987	97300		3.364	
		62033	97400		3.34	
		62080	97500		3.327	
		62128	97600		3.489	
		62176	97700		3.391	
		62228	97800		3.376	
		62282	97900		3.473	
		62332	98000		3.448	
		62383	98100		3.355	
		62432	98200		3.438	
		62482	98300		3.541	
		62534	98400		3.619	
		62580	98500		3.567	
		62619	98600		3.324	
		62667	98700		3.326	
		62720	98800		3.261	
		62778	98900		3.191	
		62835	99000		3.249	
		62895	99100		3.265	
		62955	99200		3.271	
		63014	99300		3.165	
		63061	99400		3.187	
		63110	99500		3.262	
		63164	99600		3.289	
		63217	99700		3.39	
		63275	99800		3.39	
		63325	99900		3.356	
		63372	100000		3.312	
		63422	100100		3.26	
		63472	100200		3.198	
		63523	100300		3.202	
		63577	100400		3.191	
		63623	100500		3.202	
		63675	100600		3.319	
		63727	100700		3.279	
		63780	100800		3.23	
		63822	100900		3.148	
		63866	101000		3.181	
		63908	101100		3.182	
		63948	101200		3.116	
		63998	101300		3.092	
		64048	101400		3.097	
		64102	101500		3.062	
		64154	101600		2.934	
		64210	101700		2.912	
		64249	101800		2.904	
		64299	101900		3.092	
		64344	102000		3.018	
		64393	102100		3.094	
		64438	102200		3.204	
		64491	102300		3.269	
		64542	102400		3.245	
		64599	102500		3.316	
		64639	102600		3.293	
		64687	102700		3.305	
		64739	102800		3.362	
		64791	102900		3.202	
		64845	103000		3.285	
		64891	103100		3.196	
		64932	103200		3.103	
		64981	103300		2.995	
		65027	103400		2.887	
		65072	103500		2.728	
		65123	103600		2.791	
		65168	103700		2.761	
		65212	103800		2.689	
		65259	103900		2.771	
		65313	104000		2.729	
		65374	104100		3.046	
		65425	104200		3.132	
		65482	104300		3.259	
		65533	104400		3.312	
		65587	104500		3.406	
		65643	104600		3.635	
		65695	104700		3.777	
		65742	104800		3.855	
		65788	104900		3.813	
		65836	105000		3.794	
		65887	105100		3.577	
		65929	105200		3.491	
		65984	105300		3.497	
		66039	105400		3.491	
		66092	105500		3.57	
		66143	105600		3.338	
		66192	105700		3.129	
		66247	105800		3.065	
		66294	105900		3.089	
		66349	106000		3.06	
		66400	106100		3.006	
		66452	106200		3.034	
		66496	106300		2.894	
		66544	106400		2.896	
		66590	106500		2.746	
		66640	106600		2.713	
		66685	106700		2.759	
		66732	106800		2.735	
		66768	106900		2.671	
		66817	107000		2.712	
		66875	107100		2.768	
		66926	107200		2.803	
		66980	107300		2.919	
		67021	107400		2.942	
		67058	107500		2.909	
		67113	107600		3.007	
		67165	107700		3.084	
		67213	107800		3.169	
		67262	107900		3.14	
		67312	108000		3.155	
		67364	108100		3.184	
		67408	108200		3.203	
		67458	108300		3.195	
